文件名	原路径	二级标签
A Framework for Training Large Language Models for Code Generation via Proximal Policy Optimization.md	Notion/文件夹/A Framework for Training Large Language Models for Code Generation via Proximal Policy Optimization.md	Infra
A Self-Improving Coding Agent.md	Notion/文件夹/A Self-Improving Coding Agent.md	code_agent
A Survey of Context Engineering for Large Language Models.md	Notion/文件夹/A Survey of Context Engineering for Large Language Models.md	Agentic
A Survey on Code Generation with LLM-based Agents.md	Notion/文件夹/A Survey on Code Generation with LLM-based Agents.md	Survey
Agent Learing via Early Experience.md	Notion/文件夹/Agent Learing via Early Experience.md	Agentic
Agentic Context Engineering.md	Notion/文件夹/Agentic Context Engineering.md	Agentic
AgentSquare Automatic LLM Agent Search in Modular Design Space.md	Notion/文件夹/AgentSquare Automatic LLM Agent Search in Modular Design Space.md	Agentic
Agyn A Multi-Agent System for Team-Based Autonomous Software Engineering.md	Notion/文件夹/Agyn A Multi-Agent System for Team-Based Autonomous Software Engineering.md	code_agent
AI Agentic Programming A Survey of Techniques, Challenges, and Opportunities.md	Notion/文件夹/AI Agentic Programming A Survey of Techniques, Challenges, and Opportunities.md	Survey
AOrchestra Automating Sub-Agent Creation for Agentic Orchestration.md	Notion/文件夹/AOrchestra Automating Sub-Agent Creation for Agentic Orchestration.md	Agentic
AppWorld A Controllable World of Apps and People for Benchmarking Interactive Coding Agents.md	Notion/文件夹/AppWorld A Controllable World of Apps and People for Benchmarking Interactive Coding Agents.md	Eval
AutoCodeRover Autonomous Program Improvement.md	Notion/文件夹/AutoCodeRover Autonomous Program Improvement.md	code_agent
BEIT BERT Pre-Training of Image Transformers.md	Notion/文件夹/BEIT BERT Pre-Training of Image Transformers.md	MLLM
BERT.md	Notion/文件夹/BERT.md	Based
BLIP.md	Notion/文件夹/BLIP.md	MLLM
BOLT Bootstrap Long Chain-of-Thought in Language Models without Distillation.md	Notion/文件夹/BOLT Bootstrap Long Chain-of-Thought in Language Models without Distillation.md	data
Building multi-agent systems when and how to use them.md	Notion/文件夹/Building multi-agent systems when and how to use them.md	Agentic
Chain of Trought.md	Notion/文件夹/Chain of Trought.md	Prompting
CL-Bench.md	Notion/文件夹/CL-Bench.md	Context
CLaSp In-Context Layer Skip for Self-Speculative Decoding.md	Notion/文件夹/CLaSp In-Context Layer Skip for Self-Speculative Decoding.md	efficiency
CLIP.md	Notion/文件夹/CLIP.md	MLLM
Closing the Loop Universal Repository Representation with RPG-Encoder.md	Notion/文件夹/Closing the Loop Universal Repository Representation with RPG-Encoder.md	code_agent
CodeCoR An LLM-Based Self-Reflective Multi-Agent Framework for Code Generation.md	Notion/文件夹/CodeCoR An LLM-Based Self-Reflective Multi-Agent Framework for Code Generation.md	code_agent
CoT-Self-Instruct Building high-quality synthetic prompts for reasoning and non-reasoning tasks.md	Notion/文件夹/CoT-Self-Instruct Building high-quality synthetic prompts for reasoning and non-reasoning tasks.md	data
DeepCode Open Agentic Coding.md	Notion/文件夹/DeepCode Open Agentic Coding.md	code_agent
Deepseek-OCR.md	Notion/文件夹/Deepseek-OCR.md	未分类
Deepseek-R1.md	Notion/文件夹/Deepseek-R1.md	Based
Deepseek-V3.md	Notion/文件夹/Deepseek-V3.md	Based
Demystifying Evals for AI Agents.md	Notion/文件夹/Demystifying Evals for AI Agents.md	Agentic
